FirstPhonetic	GardinerSignCode	UnicodeHex
ii	M18	131CD
ikw	A19	13017
im	Aa13	1341B
M	Aa15	1341D
imAx	F39	1312A
imi	Z11	133F6
imn	A4	13003
imnt	R14	132C0
in	K1	1319B
inb	O36	13285
ini	W25	133CE
inp	A18	13016
inpw	C6	13062
ipt	O45	13292
ir	D4	13079
irt	D4	13079
iry	A47	13038
isw	F44	1312F
it	U10	1333E
iTi	V15	13381
ity	A23	1301B
iw	N18	13200
iwa	F44	1312F
iwn	O28	1327A
iz	M40	131E9
k	V31	133A1
k\	V31A	133A2
kA	D28	13093
kAp	R5	132B6
kAr	O18	1326C
kAt	A9	1300B
kfA	F22	13116
km	I6	1318E
kp	R5	132B6
ks	A16	13013
ksi	A16	13013
ksw	A16	13013
l	E23	130ED
m	G17	13153
mA	U1	13333
mAa	Aa11	13419
mAat	C10	13066
mAi	E22	130EC
mAw	G46	13176
md	S43	13303
mD	V20	13386
mDAt	Y1	133DB
mDH	S10	132DC
mDt	V19	13385
mH	V22	13394
mi	W19	133C7
mm	G18	13154
mn	Y5	133E0
mnai	D27	13091
mnat	B5	13054
mnD	D27	13091
mnfyt	A12	1300E
mnhd	Y3	133DE
mni	A54	1303F
mniw	A33	13026
mnTw	C17	1306E
mnw	C8	13064
mnx	U22	1334A
mnxt	S27	132F2
mr	U6	13338
ms	F31	1311F
mSa	A12	1300E
msi	B3	13052
msn	V32	133A3
msw	A17A	13015
mt	D52	130B8
mw	N35A	13217
mwt	G14	13150
mxAt	U38	1335D
mzH	I3	1318A
n	N35	13216
nb	V30	1339F
nbty	G16	13152
nbw	S12	132DE
nD	Aa27	13429
nDm	M29	131DB
nfr	F35	13124
nfw	P5	132A1
nH	G21	13158
ni	D41	130A2
nis	A26	1301E
niwt	O49	13296
nm	T34	13330
nmH	A17	13014
nmt	T29	13329
nmti	G7A	13147
nmtt	D54	130BB
nni	A17	13014
nr	H4	13182
ns	F20	13113
nSmt	K6	131A0
nst	W11	133BC
nsw	A41	1302F
nTr	R8	132B9
nw	W24	133CC
nxn	O47	13294
nxt	A24	1301C
nxxw	S45	13305
p	Q3	132AA
pA	G40	1316E
pAq	H3	13181
pd	T9	13312
pD	T10	13314
pgA	D32	13098
pH	F22	13116
pr	O1	13250
psg	D26	13090
pt	N1	131EF
ptH	C19	13070
pti	D5	1307A
ptr	D5	1307A
pXr	F46	13132
pzD	N9	131F7
q	N29	1320E
qA	A28	13020
qAb	F46	13132
qAi	A28	13020
qd	Aa28	1342A
qi	A53	1303E
qis	A38	1302B
qiz	A38	1302B
qmA	T14	13319
qn	Aa8	13416
qrs	Q6	132AD
qrsw	Q6	132AD
qs	T19	1331F
r	D21	1308B
ra	N5	131F3
rA	D21	1308B
rAwi	D22	1308C
rd	D56	130BE
rdi	X8	133D9
rhn	A19	13017
rmi	D9	1307F
rmn	D41	130A2
rnn	B6	13056
rnp	M4	131B3
rs	T13	13318
rsw	M24	131D4
rtH	U31	13355
rw	E23	130ED
rwd	T12	13317
rwD	T12	13317
rxyt	G23	1315A
s	S29	132F4
S	N37	13219
sA	Aa17	1341F
SA	M8	131B7
saH	A52	1303D
sAH	D61	130C3
sAq	I5	1318C
sAw	A47	13038
sbA	N14	131FC
sbi	A13	1300F
sbk	I4	1318B
sbq	D56	130BE
sd	F33	13122
Sd	F30	1311E
sDAw	S19	132E8
sDm	F21	13114
msDr	F21	13114
sDr	A55	13040
sf	S30	132F5
sHr	A59	13044
siA	S32	132F7
siAT	D57	130BF
sk	V29	1339D
sm	M21	131D0
Sm	N40	1321D
smA	E2	130D3
Sma	M26	131D7
SmAw	A33	13026
smr	A21	13019
Sms	T18	1331E
smsw	A19	13017
smx	D35	1309C
sn	T22	13322
Sn	V7	13372
Sna	U13	13341
snD	G54	1317E
Sndyt	S26	132EF
snf	D26	13090
Sni	D3	13078
snq	D27	13091
snT	V5	13370
Ss	V6	13371
Snt	V1	13362
snTr	R7	132B8
Snwt	O51	1329A
Sny	D3	13078
Sp	D5	1307A
spAt	N24	13208
spr	F42	1312D
Sps	A50	1303B
Spsi	A51	1303C
spt	D24	1308E
spty	D25	1308F
sqd	A10	1300C
sqdw	A10	1300C
sr	A21	13019
Sri	A17	13014
srqt	L7	131AB
SsA	F5	13103
sSm	T31	1332B
Ssp	D48	130AA
sSr	V33	133A4
st	Q1	132A8
sT	S22	132EB
St	V1	13362
sTA	V2	1336C
sTAw	V3	1336E
sti	F29	1311D
stp	U21	13349
stX	C7	13063
Styw	I2	13189
sw	M23	131D3
Sw	H6	13184
Swt	S35	132FA
Swty	S9	132DB
sxm	S42	13302
sxmty	S5	132D6
sxr	A29	13021
sXr	T11	13315
sxt	M20	131CF
Szp	O42	1328F
t	X1	133CF
T	V13	1337F
tA	N16	131FE
TA	G47	13177
TAw	P5	132A1
Tb	S33	132F8
tHn	S15	132E3
THn	S15	132E3
mnit	S18	132E7
ti	U33	13358
tit	D17	13087
tm	U15	13343
TmA	V19	13385
tni	A19	13017
tp	D1	13076
tr	M6	131B5
twA	A30	13022
twt	A22	1301A
txn	O25	13276
tyw	G4	13142
Tz	S24	132ED
w	G43	13171
W	Z7	133F2
wa	T21	13321
wA	V4	1336F
wab	D60	130C2
wAD	M13	131C5
wAH	V29	1339D
wAs	S40	13300
wbA	U26	1334F
wD	V24	13397
wDa	Aa21	13423
wDAt	D10	13080
wDb	N20	13204
wdn	M11	131BB
wHa	P4	132A0
wHm	F25	13119
wi	A53	1303E
wn	E34	130F9
wnm	Z11	133F6
wp	F13	1310B
wr	G36	13168
wrd	A7	13009
wrrt	T17	1331D
wS	D3	13078
wSA	G42	13170
wsir	A43	13032
wSm	H2	13180
wsr	F12	1310A
wsx	S11	132DD
wsxt	O15	13269
ww	G44	13173
wx	R16	132C2
wz	Q2	132A9
x	Aa1	1340D
X	F32	13121
xa	N28	1320D
xA	M12	131BC
XA	K4	1319E
xAi	D40	130A1
XAr	V19	13385
xAst	N25	13209
xAt	R1	132AF
XAt	A55	13040
xAwt	R1	132AF
xbi	A32	13024
xfty	A13	1300F
Xkr	Aa30	1342C
xm	R22	132C9
xn	G41	1316F
Xn	F26	1311A
Xni	D33	13099
Xnm	W9	133B8
xnms	A11	1300D
Xnmw	C4	13060
xnt	W17	133C3
Xnti	A22	1301A
xpr	L1	131A3
xprS	S7	132D9
xpS	F23	13117
xr	A15	13012
Xr	T28	13328
Xrd	A17	13014
xrp	S42	13302
xrw	P8	132A4
xsf	U34	13359
xt	M3	131B1
xtm	S20	132E9
xw	S37	132FD
xwi	D43	130A4
xwsi	A34	13027
y	Z4	133ED
z	O34	13283
zA	G39	1316D
zAb	E17	130E5
zb	O35	13284
zH	O22	13272
zin	T11	13315
zmA	F36	13125
zmn	U32	13356
zp	O50	13297
zS	Y3	133DE
zSn	M9	131B8
zSSt	Y8	133E3
zw	N5	131F3
zwn	T11	13315
zxnt	O30	1327D
zzmt	E6	130D7
